,MKT_RF,SMB,HML,RMW,CMA,MOM,TERM,CREDIT,COM
2009-12-31,0.0274,0.0613999999999999,-0.0011,0.0070999999999999,-0.0009,0.03,0.006400000000000003,0.024137194468926,-0.0016232752377525
2010-01-31,-0.0335,0.004,0.0033,-0.0108,0.0051,-0.0533,-0.0022000000000000006,-0.011021901493086801,-0.0816348310109211
2010-02-28,0.0339,0.0149,0.0318,-0.0029,0.0141999999999999,0.0369,-0.0001999999999999988,0.0017408562375411996,0.0405928276680409
2010-03-31,0.063,0.0183,0.0219,-0.0060999999999999,0.0174,0.0356999999999999,0.0022999999999999965,0.0171234690174921,-0.0046659864350866
2010-04-30,0.02,0.0496,0.0296,0.0060999999999999,0.0175,0.0316,-0.0014999999999999944,0.0025062030438548974,0.0383699575826366
2010-05-31,-0.079,0.0008,-0.0248,0.013,-0.0024,-0.002,-0.0369,-0.0420794038238917,-0.1069986306531798
2010-06-30,-0.0557,-0.0242,-0.0473,-0.001,-0.0158,-0.027,0.0297,0.0022312671010212975,-0.0179190970857781
2010-07-31,0.0692,0.0004,-0.005,0.0017,0.0202,0.0178,-0.00030000000000000165,0.011833101053440499,0.0593966103695633
2010-08-31,-0.0476999999999999,-0.0306,-0.0173,0.006,-0.016,0.0004,-0.004699999999999996,-0.004855603764225301,-0.0306076028139714
2010-09-30,0.0955,0.0365,-0.0302,-0.0019,0.0038,0.0138,0.0005999999999999964,0.004584236474218272,0.0825343172022536
2010-10-31,0.0387,0.0073,-0.0246,0.0128,-0.0038,0.0146,0.0010000000000000009,-0.002558742085889235,0.0434234712086003
2010-11-30,0.0059,0.0354,-0.009,0.0032,0.0179,0.0273,0.0017999999999999995,-0.007262530099128899,-0.0043782231259363
2010-12-31,0.0682,0.0097,0.0356,-0.0342,0.0317,-0.03,0.004900000000000002,0.027362402322628696,0.0943306255518972
2011-01-31,0.0197999999999999,-0.0231,0.0060999999999999,-0.0064,0.0081,-0.003,0.0011999999999999997,0.0005807668303141,0.0349535697810261
2011-02-28,0.0348,0.0165,0.0118,-0.0183,0.0084,0.0187999999999999,0.0,0.0128302241066648,0.040863916772627
2011-03-31,0.0046,0.0256,-0.0184,0.0173,-0.0007,0.0345,0.0005000000000000004,-0.0038731836305325,0.0262343784753058
2011-04-30,0.0289999999999999,-0.0053,-0.0243999999999999,0.0112,-0.0086,0.0005,-0.0015000000000000013,0.0064911128913998015,0.0445515570515744
2011-05-31,-0.0127,-0.0072,-0.0185,0.0192,-0.0143,-0.006,-0.002700000000000001,-0.0121330948589326,-0.0531098175987634
2011-06-30,-0.0174,0.0006,-0.002,0.0227,-0.0141999999999999,0.0182,0.0013000000000000025,-0.002945874330364099,-0.0435807647032016
2011-07-31,-0.0235,-0.0111,-0.0091,0.0268,-0.0173,0.002,-0.0036000000000000025,-0.0071929853170687,0.0445719652987319
2011-08-31,-0.0596,-0.0308999999999999,-0.0243,0.0341,-0.0026,-0.0027,-0.005899999999999999,-0.0420671637712751,-0.0039708605282022
2011-09-30,-0.0757,-0.0349,-0.0153,0.0199,0.0015,-0.024,-0.003100000000000002,-0.0186187694830035,-0.158082022700098
2011-10-31,0.1134,0.0325,0.0006,-0.0225,-0.0073,-0.0139999999999999,0.0025000000000000022,0.0377346973878882,0.0737196372592272
2011-11-30,-0.0027,-0.003,-0.0052,0.0194,0.0144,0.0388,-0.0009000000000000015,-0.037857810087785,-0.0028902389064917
