,US_Mkt_RF,US_SMB,US_HML,US_RMW,US_CMA,US_MOM,US_RF,DEV_Mkt_RF,DEV_SMB,DEV_HML,DEV_RMW,DEV_CMA,DEV_MOM,DEV_RF,EM_Mkt_RF,EM_SMB,EM_HML,EM_RMW,EM_CMA,EM_MOM,EM_RF
2009-12-31,0.0274,0.061399999999999996,-0.0011,0.0070999999999999995,-0.0009,0.03,0.0001,0.0123,-0.013000000000000001,0.0104,0.0192,0.0012,0.0172,0.0001,0.0463,0.0212,0.023399999999999997,0.0053,-0.0053,0.023799999999999998,0.0001
2010-01-31,-0.0335,0.004,0.0033,-0.0108,0.0051,-0.0533,0.0,-0.0401,0.038,-0.0067,0.0089,0.002,-0.009000000000000001,0.0,-0.0455,0.022000000000000002,-0.0016,-0.0001,0.022799999999999997,-0.0276,0.0
2010-02-28,0.0339,0.0149,0.0318,-0.0029,0.014199999999999999,0.0369,0.0,-0.0022,0.0,-0.011200000000000002,0.0002,-0.0085,0.006999999999999999,0.0,0.0066,0.022400000000000003,-0.0053,0.0087,-0.0123,0.0216,0.0
2010-03-31,0.063,0.0183,0.0219,-0.0060999999999999995,0.0174,0.035699999999999996,0.0001,0.0632,-0.0075,0.0398,-0.0003,-0.0049,0.0425,0.0001,0.08109999999999999,-0.0044,0.0329,0.0006,-0.0007000000000000001,0.0168,0.0001
2010-04-30,0.02,0.0496,0.0296,0.0060999999999999995,0.0175,0.0316,0.0001,-0.0066,0.042300000000000004,0.0004,0.011399999999999999,0.001,0.012,0.0001,0.0151,0.0194,0.0066,0.016,0.0154,0.0218,0.0001
2010-05-31,-0.079,0.0008,-0.0248,0.013000000000000001,-0.0024,-0.002,0.0001,-0.10710000000000001,-0.0004,-0.025099999999999997,0.002,0.0033,-0.0084,0.0001,-0.0888,-0.014499999999999999,-0.0203,0.009399999999999999,0.0039000000000000003,-0.009000000000000001,0.0001
2010-06-30,-0.0557,-0.0242,-0.0473,-0.001,-0.0158,-0.027000000000000003,0.0001,-0.012199999999999999,0.0038,-0.0208,-0.0018,-0.0006,0.0009,0.0001,-0.0023,0.0116,-0.013999999999999999,0.0013,0.0042,0.0021,0.0001
2010-07-31,0.0692,0.0004,-0.005,0.0017000000000000001,0.0202,0.0178,0.0001,0.0924,-0.0253,0.023700000000000002,-0.0111,0.0115,-0.008199999999999999,0.0001,0.0814,-0.0158,0.0079,-0.0038,0.0241,0.0147,0.0001
2010-08-31,-0.04769999999999999,-0.030600000000000002,-0.0173,0.006,-0.016,0.0004,0.0001,-0.0327,0.0062,-0.0231,0.0143,-0.0262,0.0304,0.0001,-0.014499999999999999,0.013500000000000002,-0.0039000000000000003,0.0115,0.0067,0.023,0.0001
2010-09-30,0.0955,0.0365,-0.0302,-0.0019,0.0038,0.0138,0.0001,0.1001,0.0042,-0.0062,-0.0048,0.0174,0.0253,0.0001,0.1121,-0.0077,0.0017000000000000001,0.0015,0.0063,0.024300000000000002,0.0001
2010-10-31,0.0387,0.0073,-0.0246,0.0128,-0.0038,0.0146,0.0001,0.0398,-0.0064,-0.0066,0.0092,-0.0006,0.0037,0.0001,0.0298,0.0191,0.0012,0.012199999999999999,-0.010700000000000001,0.0159,0.0001
2010-11-30,0.0059,0.0354,-0.009000000000000001,0.0032,0.0179,0.0273,0.0001,-0.0429,0.0277,-0.0191,-0.0025,0.0037,0.056299999999999996,0.0001,-0.022799999999999997,-0.0011,-0.0059,0.018799999999999997,0.0060999999999999995,0.0192,0.0001
2010-12-31,0.0682,0.0097,0.0356,-0.0342,0.0317,-0.03,0.0001,0.0827,0.020499999999999997,0.0101,-0.0103,0.0075,0.005600000000000001,0.0001,0.0724,-0.0174,0.0262,-0.0192,0.017,-0.0115,0.0001
2011-01-31,0.019799999999999998,-0.0231,0.0060999999999999995,-0.0064,0.008100000000000001,-0.003,0.0001,0.0213,-0.0068000000000000005,0.042,-0.0109,0.0204,-0.0276,0.0001,-0.023799999999999998,0.002,0.0204,0.0077,-0.0018,0.0084,0.0001
2011-02-28,0.0348,0.0165,0.0118,-0.0183,0.0084,0.018799999999999997,0.0001,0.0342,-0.0051,-0.0029,0.0016,0.0015,0.0044,0.0001,-0.017,-0.0137,-0.0034999999999999996,0.0015,-0.0060999999999999995,0.0051,0.0001
2011-03-31,0.0046,0.0256,-0.0184,0.0173,-0.0007000000000000001,0.0345,0.0001,-0.016,0.0097,-0.0129,0.015700000000000002,-0.005,0.0070999999999999995,0.0001,0.055,-0.0245,0.0063,0.006,-0.0012,0.0337,0.0001
2011-04-30,0.028999999999999998,-0.0053,-0.024399999999999998,0.011200000000000002,-0.0086,0.0005,0.0,0.057,-0.0171,-0.0125,0.0125,0.0006,0.0223,0.0,0.0373,0.005600000000000001,-0.0007000000000000001,0.0187,0.0036,0.043,0.0
2011-05-31,-0.0127,-0.0072,-0.018500000000000003,0.0192,-0.0143,-0.006,0.0,-0.0277,-0.0001,-0.0085,0.0174,0.0006,0.0113,0.0,-0.025699999999999997,0.0,-0.0104,0.0207,0.0098,0.014199999999999999,0.0
2011-06-30,-0.0174,0.0006,-0.002,0.0227,-0.014199999999999999,0.0182,0.0,-0.0138,-0.0036,0.0123,0.0134,-0.0008,0.0154,0.0,-0.014499999999999999,-0.0043,-0.0005,0.0077,0.0028000000000000004,0.0096,0.0
2011-07-31,-0.0235,-0.0111,-0.0091,0.0268,-0.0173,0.002,0.0,-0.0118,0.0222,-0.0241,0.008199999999999999,-0.0063,0.027200000000000002,0.0,0.0034999999999999996,0.014199999999999999,0.0031,-0.001,0.0042,0.0217,0.0
2011-08-31,-0.0596,-0.030899999999999997,-0.024300000000000002,0.0341,-0.0026,-0.0027,0.0001,-0.0857,0.015,-0.024,0.0286,-0.008100000000000001,-0.0060999999999999995,0.0001,-0.0908,-0.008,-0.0178,0.0183,0.0197,0.02,0.0001
2011-09-30,-0.0757,-0.0349,-0.015300000000000001,0.0199,0.0015,-0.024,0.0,-0.1033,0.002,0.0215,0.0141,0.020499999999999997,-0.0208,0.0,-0.1482,-0.0048,-0.022099999999999998,0.026600000000000002,0.0379,0.001,0.0
