portfolio,SPY,VGK,EWJ,FXI,INDY,EWZ,IEF,LQD,DBC
Min_Var_Factor,0.1938043171132314,-1.1068500731450332e-22,0.2,0.053843069023700264,0.052352613863068144,-7.746744744511838e-23,0.2,0.2,0.1
MV_BL_Factor,0.6246324197019563,-7.762468457424969e-23,0.09737142898944968,0.14273888825455797,0.08765490997039171,0.047602353083644404,3.59660791932641e-23,6.768849633573827e-23,5.515459953176895e-23
MaxSharpe_BL_Factor,0.6499999459102778,-9.322038084387216e-08,1.4262556033165727e-07,0.19999916066448264,-3.9972070014987515e-07,0.15000019518183016,5.685279853630668e-07,3.9597112369824797e-07,8.350119049337545e-08
Min_VaR_5%_BL_Factor,-3.126004550993902e-06,0.17036430082918275,0.2000034549151951,0.039652651956614104,0.08997448449219139,-6.296776778693707e-07,0.20000458557092382,0.20000365640254578,0.10000061415941237
Min_TE_Factor,0.5319999999999988,0.10600000000000055,0.04400000000000035,0.020000000000000018,0.023000000000000072,0.005000000000000006,0.11499999999999991,0.11500000000000031,0.03999999999999997
MV_BL_Reg_Factor,0.5321973424971952,0.1053507089439873,0.044159906890903475,0.020652111017312416,0.023363350423837262,0.005608584300472503,0.11430780815493587,0.1146115509839138,0.03974863678744223
Min_Var_LedoitWolf,0.2314474164500369,-6.627307141816646e-23,0.2,0.03886545265970805,0.029687130890255084,6.600341322293086e-24,0.2,0.2,0.1
MV_BL_LedoitWolf,0.6395451435259712,-1.1100641099032659e-22,0.09574600190287433,0.15130501681050385,0.06396700113859592,0.04943683662205463,-2.868456814717405e-23,-4.4541836587953e-23,6.569543387356777e-23
MaxSharpe_BL_LedoitWolf,0.6499976210491085,-1.0309129516144936e-05,-1.804788671096956e-05,0.20000854536422003,2.197907726993268e-05,0.15001735796251478,-9.132717282743772e-06,-6.7868618099901265e-06,-1.21081757869601e-06
Min_VaR_5%_BL_LedoitWolf,-1.6111808209737632e-05,-4.081333322979238e-06,0.20001545072498006,0.10655944284552833,0.1328466606022586,0.06055011727086326,0.200015637083456,0.20001473103069153,0.1000181209464007
Min_TE_LedoitWolf,0.5319999999999998,0.10600000000000005,0.04400000000000004,0.019999999999999987,0.02299999999999999,0.004999999999999981,0.11499999999999962,0.11500000000000045,0.04
MV_BL_Reg_LedoitWolf,0.5322004588981055,0.10538346829281742,0.044171343432622634,0.02063359353758987,0.023348055579514897,0.005615306483033591,0.11424951527302822,0.11457891047721455,0.039819348026073204
Min_Var_EWMA,0.097400396083817,-1.3256397528457744e-22,0.14623696177986503,0.0563626421363179,0.2,-3.2388940890458906e-22,0.2,0.2,0.1
MV_BL_EWMA,0.47124085864109083,-1.391140983278246e-23,-1.5193176303027409e-22,0.17875914135890916,0.2,0.15000000000000002,-1.8107229394050904e-23,4.1225314685137666e-23,-1.5637886950460725e-23
MaxSharpe_BL_EWMA,0.6499930600168019,-4.561249663814379e-06,-2.0612529368830734e-06,0.1999977056963971,8.020572074057635e-06,0.14999868003974912,4.3932118998265904e-06,2.51425836806576e-06,2.24220605275591e-06
Min_VaR_5%_BL_EWMA,-2.9618577659770173e-06,-1.6020622905216093e-06,0.19999326983161403,0.11110946758852268,0.14933846820973923,0.03957575272553796,0.1999933007604107,0.19999560395111626,0.09999871336134035
Min_TE_EWMA,0.5319999999988787,0.10599999999964088,0.044000000000736714,0.019999999999824783,0.02299999999997371,0.004999999999911299,0.11499999999551691,0.11500000000531305,0.04000000000020387
MV_BL_Reg_EWMA,0.5320743733653386,0.10556117717131995,0.04393922072633812,0.020702518876993453,0.02387043452250094,0.006098935759952873,0.11356429544398379,0.11406616992668993,0.04012287420688239
