,RF_M
2009-12-31,4.9999999999999996e-05
2010-01-31,6.666666666666667e-05
2010-02-28,0.00010833333333333333
2010-03-31,0.00013333333333333334
2010-04-30,0.00013333333333333334
2010-05-31,0.00013333333333333334
2010-06-30,0.00015
2010-07-31,0.000125
2010-08-31,0.00011666666666666668
2010-09-30,0.00013333333333333334
2010-10-31,9.999999999999999e-05
2010-11-30,0.00014166666666666668
2010-12-31,9.999999999999999e-05
2011-01-31,0.000125
2011-02-28,0.000125
2011-03-31,7.5e-05
2011-04-30,3.3333333333333335e-05
2011-05-31,4.9999999999999996e-05
2011-06-30,2.4999999999999998e-05
2011-07-31,8.333333333333333e-05
2011-08-31,1.6666666666666667e-05
2011-09-30,1.6666666666666667e-05
2011-10-31,8.333333333333334e-06
2011-11-30,8.333333333333334e-06
2011-12-31,1.6666666666666667e-05
2012-01-31,4.9999999999999996e-05
2012-02-29,6.666666666666667e-05
2012-03-31,5.833333333333334e-05
2012-04-30,8.333333333333333e-05
2012-05-31,5.833333333333334e-05
2012-06-30,7.5e-05
2012-07-31,9.166666666666667e-05
2012-08-31,7.5e-05
2012-09-30,8.333333333333333e-05
2012-10-31,9.166666666666667e-05
2012-11-30,6.666666666666667e-05
2012-12-31,4.1666666666666665e-05
2013-01-31,5.833333333333334e-05
2013-02-28,9.166666666666667e-05
2013-03-31,5.833333333333334e-05
2013-04-30,4.1666666666666665e-05
2013-05-31,3.3333333333333335e-05
2013-06-30,3.3333333333333335e-05
2013-07-31,3.3333333333333335e-05
2013-08-31,2.4999999999999998e-05
2013-09-30,1.6666666666666667e-05
2013-10-31,3.3333333333333335e-05
2013-11-30,4.9999999999999996e-05
2013-12-31,5.833333333333334e-05
2014-01-31,1.6666666666666667e-05
2014-02-28,4.1666666666666665e-05
2014-03-31,4.1666666666666665e-05
2014-04-30,2.4999999999999998e-05
2014-05-31,3.3333333333333335e-05
2014-06-30,3.3333333333333335e-05
2014-07-31,2.4999999999999998e-05
2014-08-31,2.4999999999999998e-05
2014-09-30,1.6666666666666667e-05
2014-10-31,8.333333333333334e-06
2014-11-30,1.6666666666666667e-05
2014-12-31,3.3333333333333335e-05
2015-01-31,1.6666666666666667e-05
2015-02-28,1.6666666666666667e-05
2015-03-31,2.4999999999999998e-05
2015-04-30,8.333333333333334e-06
2015-05-31,8.333333333333334e-06
2015-06-30,8.333333333333334e-06
2015-07-31,6.666666666666667e-05
2015-08-31,6.666666666666667e-05
2015-09-30,8.333333333333334e-06
2015-10-31,6.666666666666667e-05
2015-11-30,0.00018333333333333334
2015-12-31,0.00013333333333333334
2016-01-31,0.000275
2016-02-29,0.000275
2016-03-31,0.000175
2016-04-30,0.00018333333333333334
2016-05-31,0.00028333333333333335
2016-06-30,0.00021666666666666666
2016-07-31,0.00023333333333333336
2016-08-31,0.000275
2016-09-30,0.00024166666666666664
2016-10-31,0.00028333333333333335
2016-11-30,0.00039999999999999996
2016-12-31,0.00042500000000000003
2017-01-31,0.0004333333333333333
2017-02-28,0.00044166666666666665
2017-03-31,0.0006333333333333333
2017-04-30,0.0006666666666666666
2017-05-31,0.0008166666666666666
2017-06-30,0.0008583333333333333
2017-07-31,0.0008916666666666668
2017-08-31,0.0008416666666666667
2017-09-30,0.0008833333333333333
2017-10-31,0.0009583333333333333
2017-11-30,0.0010583333333333332
2017-12-31,0.0011583333333333333
2018-01-31,0.0012166666666666667
2018-02-28,0.0013750000000000001
2018-03-31,0.0014416666666666666
2018-04-30,0.0015583333333333334
2018-05-31,0.0016083333333333331
2018-06-30,0.0016083333333333331
2018-07-31,0.0016916666666666666
2018-08-31,0.001758333333333333
2018-09-30,0.001825
2018-10-31,0.0019499999999999997
2018-11-30,0.001975
2018-12-31,0.002041666666666667
2019-01-31,0.0020083333333333333
2019-02-28,0.002041666666666667
2019-03-31,0.002
2019-04-30,0.0020250000000000003
2019-05-31,0.001958333333333333
2019-06-30,0.0017666666666666666
2019-07-31,0.0017333333333333333
2019-08-31,0.0016583333333333335
2019-09-30,0.0015666666666666665
2019-10-31,0.0012833333333333334
2019-11-30,0.001325
2019-12-31,0.0012916666666666667
2020-01-31,0.0012916666666666667
2020-02-29,0.0010583333333333332
2020-03-31,9.166666666666667e-05
2020-04-30,7.5e-05
2020-05-31,0.00011666666666666668
2020-06-30,0.00013333333333333334
2020-07-31,7.5e-05
2020-08-31,9.166666666666667e-05
2020-09-30,8.333333333333333e-05
2020-10-31,7.5e-05
2020-11-30,6.666666666666667e-05
2020-12-31,7.5e-05
2021-01-31,4.9999999999999996e-05
2021-02-28,3.3333333333333335e-05
2021-03-31,2.4999999999999998e-05
2021-04-30,8.333333333333334e-06
2021-05-31,8.333333333333334e-06
2021-06-30,4.1666666666666665e-05
2021-07-31,4.9999999999999996e-05
2021-08-31,3.3333333333333335e-05
2021-09-30,3.3333333333333335e-05
